1221440246	20240120	202401	2024	2024.0548	CHN	CHINESE	CHN								RUS	RUSSIA	RUS								1	042	042	04	1	1.9	2	1	2	0.3003003003003	1	China	CH	CH		35	105	CH	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250119013000	https://eturbonews.com/visa-free-travel-russia-tourists-brics-countries-proposed/
1221440247	20240120	202401	2024	2024.0548	CHNCVL	CHINESE	CHN					CVL			RUS	RUSSIA	RUS								1	042	042	04	1	1.9	2	1	2	0.3003003003003	1	China	CH	CH		35	105	CH	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250119013000	https://eturbonews.com/visa-free-travel-russia-tourists-brics-countries-proposed/
1221440248	20240120	202401	2024	2024.0548	CHNCVL	CHINA	CHN					CVL			RUS	RUSSIA	RUS								1	042	042	04	1	1.9	1	1	1	0.3003003003003	1	China	CH	CH		35	105	CH	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	China	CH	CH		35	105	CH	20250119013000	https://eturbonews.com/visa-free-travel-russia-tourists-brics-countries-proposed/
1221440249	20240120	202401	2024	2024.0548	CVL	MIGRANT						CVL			USA	UNITED STATES	USA								0	010	010	01	1	0.0	2	1	2	-1.10837438423646	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20250119013000	https://www.newsbusters.org/blogs/nb/brad-wilmouth/2025/01/18/cnn-suggests-biden-already-fixed-border-trump-will-just-claim
1221440250	20240120	202401	2024	2024.0548	MIL	MILITARY						MIL													0	070	070	07	2	7.0	2	1	2	-3.27357755261107	1	United States	US	US		39.828175	-98.5795	US	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250119013000	https://www.yahoo.com/news/trumps-middle-east-envoy-considering-010158592.html
1221440251	20240120	202401	2024	2024.0548	RUS	RUSSIA	RUS								CHN	CHINESE	CHN								1	043	043	04	1	2.8	2	1	2	0.3003003003003	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	China	CH	CH		35	105	CH	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250119013000	https://eturbonews.com/visa-free-travel-russia-tourists-brics-countries-proposed/
1221440252	20240120	202401	2024	2024.0548	RUS	RUSSIA	RUS								CHNCVL	CHINESE	CHN					CVL			1	043	043	04	1	2.8	2	1	2	0.3003003003003	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	China	CH	CH		35	105	CH	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250119013000	https://eturbonews.com/visa-free-travel-russia-tourists-brics-countries-proposed/
1221440253	20240120	202401	2024	2024.0548	RUS	RUSSIA	RUS								CHNCVL	CHINA	CHN					CVL			1	043	043	04	1	2.8	1	1	1	0.3003003003003	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20250119013000	https://eturbonews.com/visa-free-travel-russia-tourists-brics-countries-proposed/
1221440254	20250112	202501	2025	2025.0329	GOV	PRIME MINISTER						GOV													1	010	010	01	1	0.0	3	1	3	-4.01459854014598	4	Vizag, Andhra Pradesh, India	IN	IN02	17566	17.7	83.3	-2114520	0								4	Vizag, Andhra Pradesh, India	IN	IN02	17566	17.7	83.3	-2114520	20250119013000	https://www.sakshipost.com/news/centre-s-package-vizag-steel-plant-insufficient-claims-ysr-congress-369172
1221440255	20250119	202501	2025	2025.0521											AGR	FARMER						AGR			1	050	050	05	1	3.5	10	1	10	1.88679245283019	0								1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20250119013000	https://www.nytimes.com/2025/01/18/dining/andre-soltner-dead.html
